what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1349879093387
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1349879093427
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1349879093429
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1349879093429
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1349879093442
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1349879093444
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1349879093472
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1349879093473
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1349879093520
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1349879093522
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1349879093522
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1349879093559
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1349879093590
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1349879093616
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1349879093647
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1349879093648
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1349879093670
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1349879093670
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1349879093745
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1349879093785
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1349879093787
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1349879093790
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1349879093813
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1349879093829
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1349879093851
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1349879093856
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1349879093904
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1349879093910
os,sysinfo,,,"win32",1349879093916
arch,sysinfo,,,"x86_64",1349879093916
ws,sysinfo,,,"win32",1349879093916
locale,sysinfo,,,"es_ES",1349879093916
processors,sysinfo,,,"4",1349879093916
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349879093916
java.runtime.version,sysinfo,,,"1.7.0-b147",1349879093916
java.specification.name,sysinfo,,,"Java Platform API Specification",1349879093916
java.specification.vendor,sysinfo,,,"Oracle Corporation",1349879093916
java.specification.version,sysinfo,,,"1.7",1349879093916
java.vendor,sysinfo,,,"Oracle Corporation",1349879093916
java.version,sysinfo,,,"1.7.0",1349879093916
java.vm.info,sysinfo,,,"mixed mode",1349879093916
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1349879093916
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349879093916
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1349879093916
java.vm.specification.version,sysinfo,,,"1.7",1349879093916
java.vm.vendor,sysinfo,,,"Oracle Corporation",1349879093916
java.vm.version,sysinfo,,,"21.0-b17",1349879093916
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1349879094348
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1349879097912
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1349879098825
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1349879098893
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1349879099323
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1349879099386
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1349879099448
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1349879099451
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1349879100661
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1349879100819
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1349879101079
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1349879101345
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1349879101534
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1349879101975
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1349879101976
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1349879102018
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1349879102058
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1349879102061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349879102167
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349879362934
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349879363698
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349881647086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349881647713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349882133322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349882135355
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349884797785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349884800045
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349884810004
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349884811080
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349884811157
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349885077420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349887882751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349887884821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349887894003
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349887894645
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349887896822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349887972331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349888267780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349888269241
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349889570706
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349889572145
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349889830124
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349889831654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349890890939
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349890892492
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349891725021
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349891725958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349891793381
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349891794371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349891894948
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349891897077
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349891897828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349892002903
